Year,구분,A. 시도,B. 시군구,Value
2018,주택-전세,2.서울특별시,관악구,95.8
2019,주택-전세,2.서울특별시,관악구,96
2020,주택-전세,2.서울특별시,관악구,98.4
2021,주택-전세,2.서울특별시,관악구,101.5
2003,주택-전세,2.서울특별시,광진구,46.6
2004,주택-전세,2.서울특별시,광진구,43.4
2005,주택-전세,2.서울특별시,광진구,44.5
2006,주택-전세,2.서울특별시,광진구,49.9
2007,주택-전세,2.서울특별시,광진구,54.2
2008,주택-전세,2.서울특별시,광진구,56.8
2009,주택-전세,2.서울특별시,광진구,62.4
2010,주택-전세,2.서울특별시,광진구,68.1
2011,주택-전세,2.서울특별시,광진구,77.6
2012,주택-전세,2.서울특별시,광진구,78.1
2013,주택-전세,2.서울특별시,광진구,84
2014,주택-전세,2.서울특별시,광진구,87.4
2015,주택-전세,2.서울특별시,광진구,93.2
2016,주택-전세,2.서울특별시,광진구,94.2
2017,주택-전세,2.서울특별시,광진구,95.3
2018,주택-전세,2.서울특별시,광진구,95.6
2019,주택-전세,2.서울특별시,광진구,95.9
2020,주택-전세,2.서울특별시,광진구,98.3
2021,주택-전세,2.서울특별시,광진구,102
2003,주택-전세,2.서울특별시,구로구,46.2
2004,주택-전세,2.서울특별시,구로구,43
2005,주택-전세,2.서울특별시,구로구,44.3
2006,주택-전세,2.서울특별시,구로구,49.3
2007,주택-전세,2.서울특별시,구로구,53.8
2008,주택-전세,2.서울특별시,구로구,57.8
2009,주택-전세,2.서울특별시,구로구,59.7
2010,주택-전세,2.서울특별시,구로구,64.1
2011,주택-전세,2.서울특별시,구로구,72.4
2012,주택-전세,2.서울특별시,구로구,71.9
2013,주택-전세,2.서울특별시,구로구,77.5
2014,주택-전세,2.서울특별시,구로구,82.4
2015,주택-전세,2.서울특별시,구로구,89.5
2016,주택-전세,2.서울특별시,구로구,92.8
2017,주택-전세,2.서울특별시,구로구,95.1
2018,주택-전세,2.서울특별시,구로구,95.3
2019,주택-전세,2.서울특별시,구로구,95.2
2020,주택-전세,2.서울특별시,구로구,98
2021,주택-전세,2.서울특별시,구로구,102.4
2003,주택-전세,2.서울특별시,금천구,59.7
2004,주택-전세,2.서울특별시,금천구,56.7
2005,주택-전세,2.서울특별시,금천구,58.9
2006,주택-전세,2.서울특별시,금천구,63.9
2007,주택-전세,2.서울특별시,금천구,67.2
2008,주택-전세,2.서울특별시,금천구,73.5
2009,주택-전세,2.서울특별시,금천구,75.6
2010,주택-전세,2.서울특별시,금천구,77.1
2011,주택-전세,2.서울특별시,금천구,83.8
2012,주택-전세,2.서울특별시,금천구,81
2013,주택-전세,2.서울특별시,금천구,85.2
2014,주택-전세,2.서울특별시,금천구,87.9
2015,주택-전세,2.서울특별시,금천구,91.2
2016,주택-전세,2.서울특별시,금천구,93.4
2017,주택-전세,2.서울특별시,금천구,95.5
2018,주택-전세,2.서울특별시,금천구,96.4
2019,주택-전세,2.서울특별시,금천구,96.9
2020,주택-전세,2.서울특별시,금천구,99
2021,주택-전세,2.서울특별시,금천구,101.8
2003,주택-전세,2.서울특별시,노원구,46
2004,주택-전세,2.서울특별시,노원구,43.8
2005,주택-전세,2.서울특별시,노원구,43.8
2006,주택-전세,2.서울특별시,노원구,49.9
2007,주택-전세,2.서울특별시,노원구,53.8
2008,주택-전세,2.서울특별시,노원구,57.3
2009,주택-전세,2.서울특별시,노원구,60.5
2010,주택-전세,2.서울특별시,노원구,63.4
2011,주택-전세,2.서울특별시,노원구,72.6
2012,주택-전세,2.서울특별시,노원구,70.1
2013,주택-전세,2.서울특별시,노원구,76.4
2014,주택-전세,2.서울특별시,노원구,81
2015,주택-전세,2.서울특별시,노원구,90.9
2016,주택-전세,2.서울특별시,노원구,92.4
2017,주택-전세,2.서울특별시,노원구,92.8
2018,주택-전세,2.서울특별시,노원구,92.4
2019,주택-전세,2.서울특별시,노원구,92.9
2020,주택-전세,2.서울특별시,노원구,96.1
2021,주택-전세,2.서울특별시,노원구,103.7
2003,주택-전세,2.서울특별시,도봉구,56.1
2004,주택-전세,2.서울특별시,도봉구,50.9
2005,주택-전세,2.서울특별시,도봉구,51.7
2006,주택-전세,2.서울특별시,도봉구,57
2007,주택-전세,2.서울특별시,도봉구,61.5
2008,주택-전세,2.서울특별시,도봉구,65.6
2009,주택-전세,2.서울특별시,도봉구,68.6
2010,주택-전세,2.서울특별시,도봉구,71.1
2011,주택-전세,2.서울특별시,도봉구,79.7
2012,주택-전세,2.서울특별시,도봉구,79.3
2013,주택-전세,2.서울특별시,도봉구,85.2
2014,주택-전세,2.서울특별시,도봉구,88.9
2015,주택-전세,2.서울특별시,도봉구,94.9
2016,주택-전세,2.서울특별시,도봉구,97.1
2017,주택-전세,2.서울특별시,도봉구,97.1
2018,주택-전세,2.서울특별시,도봉구,97.2
2019,주택-전세,2.서울특별시,도봉구,96.4
2020,주택-전세,2.서울특별시,도봉구,98.7
2021,주택-전세,2.서울특별시,도봉구,102.9
2003,주택-전세,2.서울특별시,동대문구,60.6
2004,주택-전세,2.서울특별시,동대문구,53.9
2005,주택-전세,2.서울특별시,동대문구,51.1
2006,주택-전세,2.서울특별시,동대문구,56
2007,주택-전세,2.서울특별시,동대문구,61.3
2008,주택-전세,2.서울특별시,동대문구,67.2
2009,주택-전세,2.서울특별시,동대문구,68.9
2010,주택-전세,2.서울특별시,동대문구,71.5
2011,주택-전세,2.서울특별시,동대문구,78.8
2012,주택-전세,2.서울특별시,동대문구,78.2
2013,주택-전세,2.서울특별시,동대문구,82.5
2014,주택-전세,2.서울특별시,동대문구,85.8
2015,주택-전세,2.서울특별시,동대문구,93.2
2016,주택-전세,2.서울특별시,동대문구,95.1
2017,주택-전세,2.서울특별시,동대문구,96
2018,주택-전세,2.서울특별시,동대문구,96.2
2019,주택-전세,2.서울특별시,동대문구,95.7
2020,주택-전세,2.서울특별시,동대문구,98.3
2021,주택-전세,2.서울특별시,동대문구,102.4
2003,주택-전세,2.서울특별시,동작구,52.5
2004,주택-전세,2.서울특별시,동작구,49.7
2005,주택-전세,2.서울특별시,동작구,52.2
2006,주택-전세,2.서울특별시,동작구,56.7
2007,주택-전세,2.서울특별시,동작구,60.3
2008,주택-전세,2.서울특별시,동작구,61.3
2009,주택-전세,2.서울특별시,동작구,63.6
2010,주택-전세,2.서울특별시,동작구,66.8
2011,주택-전세,2.서울특별시,동작구,73.3
2012,주택-전세,2.서울특별시,동작구,75
2013,주택-전세,2.서울특별시,동작구,80.9
2014,주택-전세,2.서울특별시,동작구,83.9
2015,주택-전세,2.서울특별시,동작구,88.4
2016,주택-전세,2.서울특별시,동작구,90.6
2017,주택-전세,2.서울특별시,동작구,93.3
2018,주택-전세,2.서울특별시,동작구,94
2019,주택-전세,2.서울특별시,동작구,93.6
2020,주택-전세,2.서울특별시,동작구,97.4
2021,주택-전세,2.서울특별시,동작구,103.2
2003,주택-전세,2.서울특별시,마포구,58.2
2004,주택-전세,2.서울특별시,마포구,52.3
2005,주택-전세,2.서울특별시,마포구,51.8
2006,주택-전세,2.서울특별시,마포구,57.2
2007,주택-전세,2.서울특별시,마포구,59.5
2008,주택-전세,2.서울특별시,마포구,61.4
2009,주택-전세,2.서울특별시,마포구,64.2
2010,주택-전세,2.서울특별시,마포구,68.7
2011,주택-전세,2.서울특별시,마포구,76.1
2012,주택-전세,2.서울특별시,마포구,77
2013,주택-전세,2.서울특별시,마포구,80.1
2014,주택-전세,2.서울특별시,마포구,83
2015,주택-전세,2.서울특별시,마포구,86.9
2016,주택-전세,2.서울특별시,마포구,90.1
2017,주택-전세,2.서울특별시,마포구,92.7
2018,주택-전세,2.서울특별시,마포구,94.8
2019,주택-전세,2.서울특별시,마포구,94.3
2020,주택-전세,2.서울특별시,마포구,98.5
2021,주택-전세,2.서울특별시,마포구,102.3
2003,주택-전세,2.서울특별시,서대문구,64
2004,주택-전세,2.서울특별시,서대문구,54.2
2005,주택-전세,2.서울특별시,서대문구,52.6
2006,주택-전세,2.서울특별시,서대문구,56.1
2007,주택-전세,2.서울특별시,서대문구,59.2
2008,주택-전세,2.서울특별시,서대문구,64.8
2009,주택-전세,2.서울특별시,서대문구,65.7
2010,주택-전세,2.서울특별시,서대문구,70.1
2011,주택-전세,2.서울특별시,서대문구,75.8
2012,주택-전세,2.서울특별시,서대문구,78.2
2013,주택-전세,2.서울특별시,서대문구,84.3
2014,주택-전세,2.서울특별시,서대문구,86.9
2015,주택-전세,2.서울특별시,서대문구,91.6
2016,주택-전세,2.서울특별시,서대문구,94.5
2017,주택-전세,2.서울특별시,서대문구,97.2
2018,주택-전세,2.서울특별시,서대문구,98.2
2019,주택-전세,2.서울특별시,서대문구,97.2
2020,주택-전세,2.서울특별시,서대문구,98.9
2021,주택-전세,2.서울특별시,서대문구,102.3
2003,주택-전세,2.서울특별시,서초구,53.8
2004,주택-전세,2.서울특별시,서초구,51.1
2005,주택-전세,2.서울특별시,서초구,58.1
2006,주택-전세,2.서울특별시,서초구,62.7
2007,주택-전세,2.서울특별시,서초구,63.8
2008,주택-전세,2.서울특별시,서초구,58.8
2009,주택-전세,2.서울특별시,서초구,64.6
2010,주택-전세,2.서울특별시,서초구,69.3
2011,주택-전세,2.서울특별시,서초구,75.6
2012,주택-전세,2.서울특별시,서초구,77.8
2013,주택-전세,2.서울특별시,서초구,81.8
2014,주택-전세,2.서울특별시,서초구,84.2
2015,주택-전세,2.서울특별시,서초구,92
2016,주택-전세,2.서울특별시,서초구,92
2017,주택-전세,2.서울특별시,서초구,91.7
2018,주택-전세,2.서울특별시,서초구,90.4
2019,주택-전세,2.서울특별시,서초구,89.5
2020,주택-전세,2.서울특별시,서초구,95.6
2021,주택-전세,2.서울특별시,서초구,103.6
2003,주택-전세,2.서울특별시,성동구,51.7
2004,주택-전세,2.서울특별시,성동구,50.8
2005,주택-전세,2.서울특별시,성동구,51.7
2006,주택-전세,2.서울특별시,성동구,55.4
2007,주택-전세,2.서울특별시,성동구,57.5
2008,주택-전세,2.서울특별시,성동구,57.8
2009,주택-전세,2.서울특별시,성동구,60
2010,주택-전세,2.서울특별시,성동구,64.4
2011,주택-전세,2.서울특별시,성동구,72.7
2012,주택-전세,2.서울특별시,성동구,72.9
2013,주택-전세,2.서울특별시,성동구,79.5
2014,주택-전세,2.서울특별시,성동구,82.8
2015,주택-전세,2.서울특별시,성동구,90.7
2016,주택-전세,2.서울특별시,성동구,92.3
2017,주택-전세,2.서울특별시,성동구,93.8
2018,주택-전세,2.서울특별시,성동구,94
2019,주택-전세,2.서울특별시,성동구,94
2020,주택-전세,2.서울특별시,성동구,98
2021,주택-전세,2.서울특별시,성동구,102
2003,주택-전세,2.서울특별시,성북구,52.2
2004,주택-전세,2.서울특별시,성북구,49.4
2005,주택-전세,2.서울특별시,성북구,49.1
2006,주택-전세,2.서울특별시,성북구,54.3
2007,주택-전세,2.서울특별시,성북구,60.7
2008,주택-전세,2.서울특별시,성북구,65.5
2009,주택-전세,2.서울특별시,성북구,67.9
2010,주택-전세,2.서울특별시,성북구,70
2011,주택-전세,2.서울특별시,성북구,76.9
2012,주택-전세,2.서울특별시,성북구,77.8
2013,주택-전세,2.서울특별시,성북구,81.5
2014,주택-전세,2.서울특별시,성북구,84.4
2015,주택-전세,2.서울특별시,성북구,89.2
2016,주택-전세,2.서울특별시,성북구,91.4
2017,주택-전세,2.서울특별시,성북구,92.9
2018,주택-전세,2.서울특별시,성북구,95.1
2019,주택-전세,2.서울특별시,성북구,94.5
2020,주택-전세,2.서울특별시,성북구,97.5
2021,주택-전세,2.서울특별시,성북구,102.5
2003,주택-전세,2.서울특별시,송파구,57.4
2004,주택-전세,2.서울특별시,송파구,50.6
2005,주택-전세,2.서울특별시,송파구,53.7
2006,주택-전세,2.서울특별시,송파구,57.4
2007,주택-전세,2.서울특별시,송파구,58.7
2008,주택-전세,2.서울특별시,송파구,55.3
2009,주택-전세,2.서울특별시,송파구,61.1
2010,주택-전세,2.서울특별시,송파구,67.1
2011,주택-전세,2.서울특별시,송파구,75.1
2012,주택-전세,2.서울특별시,송파구,75.4
2013,주택-전세,2.서울특별시,송파구,81.9
2014,주택-전세,2.서울특별시,송파구,83.5
2015,주택-전세,2.서울특별시,송파구,90.7
2016,주택-전세,2.서울특별시,송파구,90.8
2017,주택-전세,2.서울특별시,송파구,94
2018,주택-전세,2.서울특별시,송파구,91.5
2019,주택-전세,2.서울특별시,송파구,91.9
2020,주택-전세,2.서울특별시,송파구,97.5
2021,주택-전세,2.서울특별시,송파구,103.8
2003,주택-전세,2.서울특별시,양천구,49
2004,주택-전세,2.서울특별시,양천구,45.7
2005,주택-전세,2.서울특별시,양천구,48.8
2006,주택-전세,2.서울특별시,양천구,54.7
2007,주택-전세,2.서울특별시,양천구,55.6
2008,주택-전세,2.서울특별시,양천구,59.4
2009,주택-전세,2.서울특별시,양천구,64.6
2010,주택-전세,2.서울특별시,양천구,69.4
2011,주택-전세,2.서울특별시,양천구,74.7
2012,주택-전세,2.서울특별시,양천구,75.3
2013,주택-전세,2.서울특별시,양천구,79.7
2014,주택-전세,2.서울특별시,양천구,83.7
2015,주택-전세,2.서울특별시,양천구,89.3
2016,주택-전세,2.서울특별시,양천구,92.5
2017,주택-전세,2.서울특별시,양천구,94.7
2018,주택-전세,2.서울특별시,양천구,95.7
2019,주택-전세,2.서울특별시,양천구,96.2
2020,주택-전세,2.서울특별시,양천구,98.9
2021,주택-전세,2.서울특별시,양천구,103.2
2003,주택-전세,2.서울특별시,영등포구,50.7
2004,주택-전세,2.서울특별시,영등포구,46.7
2005,주택-전세,2.서울특별시,영등포구,47.6
2006,주택-전세,2.서울특별시,영등포구,53.6
2007,주택-전세,2.서울특별시,영등포구,56.9
2008,주택-전세,2.서울특별시,영등포구,57.6
2009,주택-전세,2.서울특별시,영등포구,60.4
2010,주택-전세,2.서울특별시,영등포구,65.9
2011,주택-전세,2.서울특별시,영등포구,72.9
2012,주택-전세,2.서울특별시,영등포구,74.4
2013,주택-전세,2.서울특별시,영등포구,81.8
2014,주택-전세,2.서울특별시,영등포구,84.2
2015,주택-전세,2.서울특별시,영등포구,89.8
2016,주택-전세,2.서울특별시,영등포구,92.4
2017,주택-전세,2.서울특별시,영등포구,94.6
2018,주택-전세,2.서울특별시,영등포구,96.2
2019,주택-전세,2.서울특별시,영등포구,96.1
2020,주택-전세,2.서울특별시,영등포구,98.6
2021,주택-전세,2.서울특별시,영등포구,103.1
2003,주택-전세,2.서울특별시,용산구,61.5
2004,주택-전세,2.서울특별시,용산구,59.3
2005,주택-전세,2.서울특별시,용산구,60.8
2006,주택-전세,2.서울특별시,용산구,65.1
2007,주택-전세,2.서울특별시,용산구,66
2008,주택-전세,2.서울특별시,용산구,68.2
2009,주택-전세,2.서울특별시,용산구,69.2
2010,주택-전세,2.서울특별시,용산구,73.7
2011,주택-전세,2.서울특별시,용산구,79.9
2012,주택-전세,2.서울특별시,용산구,81.6
2013,주택-전세,2.서울특별시,용산구,86.2
2014,주택-전세,2.서울특별시,용산구,88.9
2015,주택-전세,2.서울특별시,용산구,92.2
2016,주택-전세,2.서울특별시,용산구,94.3
2017,주택-전세,2.서울특별시,용산구,95.9
2018,주택-전세,2.서울특별시,용산구,96.1
2019,주택-전세,2.서울특별시,용산구,95.6
2020,주택-전세,2.서울특별시,용산구,98.2
2021,주택-전세,2.서울특별시,용산구,102.3
2003,주택-전세,2.서울특별시,은평구,62.5
2004,주택-전세,2.서울특별시,은평구,56.8
2005,주택-전세,2.서울특별시,은평구,56.5
2006,주택-전세,2.서울특별시,은평구,66.9
2007,주택-전세,2.서울특별시,은평구,70.9
2008,주택-전세,2.서울특별시,은평구,70.5
2009,주택-전세,2.서울특별시,은평구,71.7
2010,주택-전세,2.서울특별시,은평구,74.4
2011,주택-전세,2.서울특별시,은평구,78.7
2012,주택-전세,2.서울특별시,은평구,79.7
2013,주택-전세,2.서울특별시,은평구,83.2
2014,주택-전세,2.서울특별시,은평구,85.8
2015,주택-전세,2.서울특별시,은평구,89.8
2016,주택-전세,2.서울특별시,은평구,92.1
2017,주택-전세,2.서울특별시,은평구,94.1
2018,주택-전세,2.서울특별시,은평구,95.1
2019,주택-전세,2.서울특별시,은평구,94.8
2020,주택-전세,2.서울특별시,은평구,97.5
2021,주택-전세,2.서울특별시,은평구,102.8
2003,주택-전세,2.서울특별시,종로구,68.1
2004,주택-전세,2.서울특별시,종로구,63.2
2005,주택-전세,2.서울특별시,종로구,63.9
2006,주택-전세,2.서울특별시,종로구,68.4
2007,주택-전세,2.서울특별시,종로구,70.8
2008,주택-전세,2.서울특별시,종로구,73.9
2009,주택-전세,2.서울특별시,종로구,75.4
2010,주택-전세,2.서울특별시,종로구,77.5
2011,주택-전세,2.서울특별시,종로구,82.9
2012,주택-전세,2.서울특별시,종로구,83.3
2013,주택-전세,2.서울특별시,종로구,86
2014,주택-전세,2.서울특별시,종로구,87.2
2015,주택-전세,2.서울특별시,종로구,90.4
2016,주택-전세,2.서울특별시,종로구,92.2
2017,주택-전세,2.서울특별시,종로구,94.9
2018,주택-전세,2.서울특별시,종로구,97.7
2019,주택-전세,2.서울특별시,종로구,97.5
2020,주택-전세,2.서울특별시,종로구,99.2
2021,주택-전세,2.서울특별시,종로구,102.4
2003,주택-전세,2.서울특별시,중구,58.7
2004,주택-전세,2.서울특별시,중구,55.1
2005,주택-전세,2.서울특별시,중구,56.3
2006,주택-전세,2.서울특별시,중구,62
2007,주택-전세,2.서울특별시,중구,64
2008,주택-전세,2.서울특별시,중구,65.2
2009,주택-전세,2.서울특별시,중구,68.6
2010,주택-전세,2.서울특별시,중구,72.4
2011,주택-전세,2.서울특별시,중구,78.8
2012,주택-전세,2.서울특별시,중구,79.4
2013,주택-전세,2.서울특별시,중구,85.5
2014,주택-전세,2.서울특별시,중구,88.3
2015,주택-전세,2.서울특별시,중구,91.9
2016,주택-전세,2.서울특별시,중구,93.5
2017,주택-전세,2.서울특별시,중구,96.3
2018,주택-전세,2.서울특별시,중구,97.7
2019,주택-전세,2.서울특별시,중구,97.2
2020,주택-전세,2.서울특별시,중구,99.1
2021,주택-전세,2.서울특별시,중구,102.5
2003,주택-전세,2.서울특별시,중랑구,59.9
2004,주택-전세,2.서울특별시,중랑구,55.4
2005,주택-전세,2.서울특별시,중랑구,53.8
2006,주택-전세,2.서울특별시,중랑구,59.6
2007,주택-전세,2.서울특별시,중랑구,66.4
2008,주택-전세,2.서울특별시,중랑구,70.1
2009,주택-전세,2.서울특별시,중랑구,72.1
2010,주택-전세,2.서울특별시,중랑구,74
2011,주택-전세,2.서울특별시,중랑구,80.7
2012,주택-전세,2.서울특별시,중랑구,81.3
2013,주택-전세,2.서울특별시,중랑구,86.7
2014,주택-전세,2.서울특별시,중랑구,89.1
2015,주택-전세,2.서울특별시,중랑구,93.1
2016,주택-전세,2.서울특별시,중랑구,94.4
2017,주택-전세,2.서울특별시,중랑구,95.8
2018,주택-전세,2.서울특별시,중랑구,96.5
2019,주택-전세,2.서울특별시,중랑구,96.3
2020,주택-전세,2.서울특별시,중랑구,98.4
2021,주택-전세,2.서울특별시,중랑구,101.9
2003,주택-전세,3.인천광역시,,55.2
2004,주택-전세,3.인천광역시,,50.2
2005,주택-전세,3.인천광역시,,50.1
2006,주택-전세,3.인천광역시,,54.5
2007,주택-전세,3.인천광역시,,58.2
2008,주택-전세,3.인천광역시,,65.2
2009,주택-전세,3.인천광역시,,66.5
2010,주택-전세,3.인천광역시,,69.8
2011,주택-전세,3.인천광역시,,72.8
2012,주택-전세,3.인천광역시,,73.5
2013,주택-전세,3.인천광역시,,78
2014,주택-전세,3.인천광역시,,81.8
2015,주택-전세,3.인천광역시,,86.7
2016,주택-전세,3.인천광역시,,88.7
2017,주택-전세,3.인천광역시,,89.9
2018,주택-전세,3.인천광역시,,88.9
2019,주택-전세,3.인천광역시,,88.5
2020,주택-전세,3.인천광역시,,94.4
2021,주택-전세,3.인천광역시,,104.6
2003,주택-전세,3.인천광역시,계양구,52.1
2004,주택-전세,3.인천광역시,계양구,47.4
2005,주택-전세,3.인천광역시,계양구,46.8
2006,주택-전세,3.인천광역시,계양구,53.2
2007,주택-전세,3.인천광역시,계양구,58.5
2008,주택-전세,3.인천광역시,계양구,66.3
2009,주택-전세,3.인천광역시,계양구,67.3
2010,주택-전세,3.인천광역시,계양구,71.6
2011,주택-전세,3.인천광역시,계양구,72.5
2012,주택-전세,3.인천광역시,계양구,73.1
2013,주택-전세,3.인천광역시,계양구,76.8
2014,주택-전세,3.인천광역시,계양구,81.8
2015,주택-전세,3.인천광역시,계양구,88
2016,주택-전세,3.인천광역시,계양구,89.9
2017,주택-전세,3.인천광역시,계양구,91
2018,주택-전세,3.인천광역시,계양구,90.4
2019,주택-전세,3.인천광역시,계양구,90.9
2020,주택-전세,3.인천광역시,계양구,95.3
2021,주택-전세,3.인천광역시,계양구,106.1
2003,주택-전세,3.인천광역시,남동구,59.3
